Sample Code,Seq,Drain,Site,Rep,Size,Vol L,Total Fragment Count,Fragment L,Total Film Count,Film L,Total Bead Count,Bead L,Total Fibre Count,Blank deduction,Total Fibre Blank Correction,Fibre L,Total MP Blank Correct,corrected counts,corrected counts perL,FP rate,corrected count across sizes,corrected count across sizes/L,catchment area ha,catchment population,residential proportion,industrial proportion,services proportion,agricultural proportion,natural proportion,public open,rainfall week prior mm
K1.2.2,78,K,K1,2,2,10,0,0,0,0,0,0,38,1,37,3.7,37,18,1.8,0.514,113,11.3,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.2.3,79,K,K1,2,3,10,2,0.2,0,0,0,0,94,0,94,9.4,96,43,4.3,0.552,113,11.3,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.2.4,80,K,K1,2,4,10,3,0.3,0,0,0,0,46,1,45,4.5,48,22,2.2,0.542,113,11.3,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.3.1,81,K,K1,3,1,10,3,0.3,0,0,0,0,38,1,37,3.7,40,15,1.5,0.625,72,7.2,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.3.2,82,K,K1,3,2,10,0,0,0,0,0,0,33,1,32,3.2,32,9,0.9,0.719,72,7.2,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.3.3,83,K,K1,3,3,10,0,0,0,0,0,0,53,1,52,5.2,52,20,2,0.615,72,7.2,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K1.3.4,84,K,K1,3,4,10,0,0,0,0,0,0,49,2,47,4.7,47,28,2.8,0.404,72,7.2,19.62,298,84.2105,0,15.7895,0,0,0,31.8
K2.1.1,85,K,K2,1,1,10,0,0,0,0,0,0,40,2,38,3.8,38,14,1.4,0.632,93,9.3,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.1.2,86,K,K2,1,2,10,1,0.1,0,0,0,0,42,1,41,4.1,42,22,2.2,0.476,93,9.3,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.1.3,87,K,K2,1,3,10,1,0.1,0,0,0,0,116,1,115,11.5,116,54,5.4,0.534,93,9.3,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.1.4,88,K,K2,1,4,10,0,0,0,0,0,0,8,2,6,0.6,6,3,0.3,0.5,93,9.3,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
K2.2.1,89,K,K2,2,1,10,1,0.1,0,0,0,0,148,0,148,14.8,149,74,7.4,0.503,108,10.8,21.06,319,84.21052632,0,15.7895,0,0,0,31.8
