"V1","V2"
2380,-0.63
2380,-2.05
2380,1.78
2380,-1.43
2380,-1.19
2390,1.87
2390,4.95
2390,2.65
2390,-0.245
2390,-0.433
2390,2.39
2400,4.46
2400,7.43
2400,2.75
2400,-3.81
2400,-2.05
2400,-1.83
2400,-0.255
2410,-0.721
2410,-2.08
2410,-5.63
2410,0.39
2410,3.21
2410,3.49
2410,2.32
2420,2.8
2420,0.828
2420,3.66
2420,1.94
2420,4.57
2420,1.31
2420,5.39
2430,6.53
2430,7.57
2430,9.61
2430,9.6
2430,12.1
2430,9.78
2430,8.22
2440,7.31
2440,8.76
2440,10.1
2440,12.6
2440,15.7
2440,12.7
2440,10.5
2450,10
2450,9.9
2450,12.7
2450,12.5
2450,13
2450,14.6
2450,10.8
2460,7.98
2460,7.34
2460,8.1
2460,8.96
2460,8.62
2460,11.7
2460,10.8
2470,12
2470,12.1
2470,7.64
2470,9.66
2470,8.73
2470,8
2470,6.82
2480,3.94
2480,2.11
2480,5.24
2480,0.815
2480,-0.0577
2480,-2.58
2480,-3.5
2490,1.68
2490,2.16
2490,3.4
2490,5.58
2490,8.22
2490,7.5
2490,3.14
2500,0.782
2500,1.62
2500,0.0667
2500,-0.289
2500,1.81
2500,0.755
2500,1.25
2510,2.81
2510,0.359
2510,-0.536
2510,-0.979
2510,0.28
2510,0.291
2520,2.3
2520,2.12
2520,-0.162
2520,3.96
2520,4.33
2520,9.51
2520,9.09
2530,8.57
2530,9.65
2530,10.5
2530,13.3
2530,14.6
2530,14
2530,14.8
2530,11
2540,9.27
2540,6.6
2540,7.83
2540,4.78
2540,2.93
2540,2.85
2540,-0.369
2550,0.0872
2550,1.15
2550,0.34
2550,-1.83
2550,-2.36
2550,-3.39
2550,-1.22
2560,-2.85
2560,-0.182
2560,0.34
2560,7.56
2560,7.09
2560,6.46
2560,3.19
2570,0.469
2570,4.05
2570,7.08
2570,4.01
2570,6.89
2570,9.08
2570,9.01
2580,7.45
2580,6.44
2580,5.38
2580,5.92
2580,4.02
2580,2.86
2580,4.61
2590,9.9
2590,8.85
2590,13.1
2590,14.1
2590,12.9
2590,11.3
2590,10.7
2600,10
2600,13.4
2600,15.9
2600,13.5
2600,10.4
2600,8.43
2600,7.4
2610,8.62
2610,6
2610,10.8
2610,10
2610,10.6
2610,9.33
2610,8.08
2620,13.4
2620,12
2620,7.73
2620,5.34
2620,5.11
2620,1.49
2620,0.622
2630,1.22
2630,-0.18
2630,1.64
2630,3.52
2630,1.68
2630,-1.94
2630,-4.69
2640,-4.07
2640,-0.404
2640,0.472
2640,0.0554
2640,0.449
2640,1.55
2640,7.57
2650,4.6
2650,0.96
2650,-0.554
2650,-0.369
2650,-3.17
2650,-4.66
2650,-4.6
2650,-0.312
2660,-1.9
2660,-0.814
2660,2.52
2660,4.29
2660,3.12
2660,3.65
2660,1.19
2670,2.58
2670,-2.59
2670,-1.55
2670,0.0857
2670,-2.62
2670,-1.92
2670,-0.472
2680,0.735
2680,-0.728
2680,-0.69
2680,2.95
2680,2.34
2680,2.18
2680,-0.0256
2690,1.62
2690,0.962
2690,3.86
2690,3.5
2690,2.45
2690,0.8
2690,-0.7
2700,-2.75
2700,-2.4
2700,-1.1
2700,0.00793
2700,1.61
2700,2.12
2700,3.27
2700,4.13
2710,2.89
2710,4.1
2710,4.36
2710,2.72
2710,1.68
2710,-1.05
2710,0.163
2720,4.38
2720,4.7
2720,4.01
2720,2.58
2720,6.35
2720,9.17
2720,9.6
2730,14.7
2730,14
2730,14.3
2730,17.1
2730,15.3
2730,14.8
2730,12.2
2740,9.37
2740,10.4
2740,10.1
2740,4.77
2740,2.46
2740,-0.559
2740,1.33
2740,-0.183
2750,-1.04
2750,1.15
2750,-2.66
2750,-2.66
2750,2.73
2750,-2.22
2750,4.02
2760,2.68
2760,1.24
2760,-1.23
2760,-4.22
2760,-3.3
2760,-3.62
2760,-1.74
2770,-6.79
2770,-4.01
2770,-0.122
2770,3.87
2770,8.25
2770,10.2
2770,10.4
2780,7.22
2780,6.24
