Sample.Code,ï..sample,Drain,Site.Code,Repeat.Number,Filter.Size,Sample.Code,Total.Fragment.Count,Fragment.L,Total.Film.Count,Film.L,Total.Bead.Count,Bead.L,Total.Fibre.Count,Blank.deduction,Total.Fibre.Blank.Correction,Fibre.L,Total.MP.Blank.Correct,corrected_counts,corrected_counts_perL,corrected_count_across_sizes,corrected_count_across_sizes/L,catchment_area_ha,catchment_population,residential_proportion,industrial_proportion,services_proportion,agricultural_proportion,naturalenvironments_proportion,waterenvironment_proportion,production_proportion,transportation_proportion,waste_proportion,rainfall_week_prior_mm
K1.2.4,80,K,K1,2,4,K1.2.4,3,0.3,0,0,0,0,46,1,45,4.5,48,22,2.2,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K1.3.1,81,K,K1,3,1,K1.3.1,3,0.3,0,0,0,0,38,1,37,3.7,40,15,1.5,72,7.2,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K1.3.2,82,K,K1,3,2,K1.3.2,0,0,0,0,0,0,33,1,32,3.2,32,9,0.9,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K1.3.3,83,K,K1,3,3,K1.3.3,0,0,0,0,0,0,53,1,52,5.2,52,20,2,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K1.3.4,84,K,K1,3,4,K1.3.4,0,0,0,0,0,0,49,2,47,4.7,47,28,2.8,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K2.1.1,85,K,K2,1,1,K2.1.1,0,0,0,0,0,0,40,2,38,3.8,38,14,1.4,93,9.3,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K2.1.2,86,K,K2,1,2,K2.1.2,1,0.1,0,0,0,0,42,1,41,4.1,42,22,2.2,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K2.1.3,87,K,K2,1,3,K2.1.3,1,0.1,0,0,0,0,116,1,115,11.5,116,54,5.4,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K2.1.4,88,K,K2,1,4,K2.1.4,0,0,0,0,0,0,8,2,6,0.6,6,3,0.3,,,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
K2.2.1,89,K,K2,2,1,K2.2.1,1,0.1,0,0,0,0,148,0,148,14.8,149,74,7.4,108,10.8,24.55,379,72.72,0,13.64,0,0,0,13.64,0,0,31.8
